"Lon","Lat","out","torsk","lyr","hvitting","torsk","sei","skrubbe","brisling","makrell","aure","rødspette","ål","slettvar","Hestmakrell","sandflyndre","bergnebb","grønngylt","trepigget.stingsild","ålekvabbe","tangsprell","tangstikling","vanlig.ulke","dvergulke","stor.kantnål","sandkutling","svartkutling","stor.havnål","tangsnelle","berggylt","rødknurr"
10.6873333333333,59.8521666666667,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,2,0,0,0,0,0,0,0,0,0
10.732,59.8875,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,9,2,0,0,0,0
10.5658333333333,59.8613333333333,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,46,27,0,1,0,0
10.3758333333333,59.1593333333333,40,6,26,6,1,70,0,0,0,0,0,0,0,0,0,24,24,12,0,0,4,0,0,0,0,9,0,1,0,0
10.3923333333333,59.1743333333333,23,11,0,1,0,2,1,0,0,30,0,1,0,0,0,29,30,1,0,0,3,0,1,0,0,34,0,3,0,0
10.3765,59.1648333333333,21,15,0,1,0,0,0,0,1,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,11,0,0,1,0
10.3765,59.1648333333333,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,0,0,0,0
10.3758333333333,59.1593333333333,40,0,0,1,0,0,1,0,0,1,0,0,0,0,0,26,13,17,0,0,0,1,0,0,0,12,0,1,0,0
10.3923333333333,59.1743333333333,23,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,11,2,0,0,0,0,0,0,3,13,0,1,0,0
10.732,59.8875,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,16,13,0,0,0,0
10.6873333333333,59.8521666666667,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,0,1,0,0,0,0,0,0,8,0,0,0,0
10.5538333333333,59.8555,50,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,5,22,0,0,0,0
10.5658333333333,59.8613333333333,54,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,42,0,0,0,0
10.6873333333333,59.8521666666667,49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,0,0,0,1,0,0,2,0,5,0,0,0,0
10.5538333333333,59.8555,50,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,48,0,1,1,0
10.5658333333333,59.8613333333333,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,51,0,0,0,0
10.732,59.8875,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0
10.3765,59.1648333333333,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,18,0,1,0,0
10.3758333333333,59.1593333333333,40,0,2,0,1,221,0,0,0,0,0,0,0,0,0,30,86,8,0,0,0,6,0,0,0,81,0,2,3,0
10.3923333333333,59.1743333333333,23,1,0,15,0,6,0,0,0,0,0,0,0,0,1,2,103,6,0,0,1,0,0,0,1,196,0,10,2,0
10.519,59.2206666666667,78,15,0,0,0,184,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,23,0,6,0,0
10.5335,59.2205,74,2,0,0,0,53,0,0,0,5,1,0,0,0,0,0,3,0,0,0,0,0,0,0,14,2,1,3,0,0
10.5366666666667,59.2161666666667,79,0,0,6,0,1,0,0,0,1,0,0,0,0,0,19,47,690,0,0,0,0,0,0,0,88,0,6,3,0
10.6873333333333,59.8521666666667,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,0,0,0,0,0,2,0,0,3,0,0,0,0
10.732,59.8875,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0
10.5658333333333,59.8613333333333,54,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,0,1,0,1
10.5538333333333,59.8555,50,0,0,0,0,0,3,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,3,40,0,1,0,0
10.3923333333333,59.1743333333333,23,0,0,1,0,0,0,0,0,26,0,0,0,0,0,3,25,112,0,0,0,0,0,0,1,66,0,6,0,0
10.3758333333333,59.1593333333333,40,7,3,3,0,11,0,0,0,0,0,0,0,0,0,54,31,80,0,0,0,1,0,0,0,94,0,6,3,0
10.3765,59.1648333333333,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
10.3758333333333,59.1593333333333,40,18,105,11,0,0,0,0,0,3,0,0,0,0,0,22,28,14,0,0,1,0,0,2,1,51,0,0,0,0
10.3765,59.1648333333333,21,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,22,0,0,0,0
10.3923333333333,59.1743333333333,23,10,11,6,0,25,1,0,0,5,0,0,0,0,0,50,54,9,1,0,0,0,0,0,1,307,0,3,1,0
10.5538,59.8555,50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0
10.56587,59.86135,54,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,59,0,0,0,0
10.68732,59.85213,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,1,0,0,1,0,0,9,0,0,0,0
10.73198,59.88758,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,2,12,0,0,0,0
10.519,59.22066,78,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,5,1,0,0,1,27,0,0,1,0
10.53356,59.22054,74,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,2,0,2,0,5,2,0,0,1,0
10.53668,59.21618,79,14,2,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,0,0,0,0,0,1,0,45,0,1,0,0
